"x","y","dates"
53.456575,-21.86286,2018-12-15
53.42982,-21.859855,2018-12-15
53.4240317,-21.8635233,2018-12-15
53.4219317,-21.86281,2018-12-15
53.4207833,-21.86135,2018-12-15
53.3984017,-21.83853,2018-12-15
53.396195,-21.8362283,2018-12-15
53.39477,-21.83394,2018-12-15
53.3929133,-21.8315167,2018-12-15
53.3906667,-21.82993,2018-12-15
53.3883133,-21.8276333,2018-12-15
53.3636733,-21.8217433,2018-12-16
53.361925,-21.8204333,2018-12-16
53.3356183,-21.8352333,2018-12-16
53.3039833,-21.8669733,2018-12-16
53.2728233,-21.8628217,2018-12-16
53.2532883,-21.81559,2018-12-16
53.2126383,-21.7691633,2018-12-16
53.2062583,-21.7784917,2018-12-16
53.2123967,-21.7760617,2018-12-16
53.2090717,-21.7878683,2018-12-16
53.2090433,-21.79118,2018-12-16
53.2063,-21.7969567,2018-12-16
53.1928617,-21.8101883,2018-12-16
53.1443217,-21.787355,2018-12-16
53.1193633,-21.78136,2018-12-16
53.1024217,-21.7834417,2018-12-16
53.0897883,-21.794455,2018-12-16
53.08398,-21.8070967,2018-12-16
53.078225,-21.8111833,2018-12-16
53.0670483,-21.818055,2018-12-16
53.0594217,-21.82709,2018-12-16
53.0480033,-21.83615,2018-12-16
53.0372967,-21.843775,2018-12-16
53.0319533,-21.8541083,2018-12-16
53.03063,-21.8540167,2018-12-16
53.029485,-21.8540333,2018-12-16
53.0280467,-21.8540133,2018-12-16
53.026445,-21.8541833,2018-12-16
53.0256783,-21.8544917,2018-12-16
53.0252233,-21.854665,2018-12-16
53.0248783,-21.854925,2018-12-16
53.0242333,-21.8548717,2018-12-16
53.0234267,-21.8548083,2018-12-16
53.0232083,-21.8546333,2018-12-16
53.0160067,-21.8665133,2018-12-16
53.0152133,-21.8669467,2018-12-16
53.014355,-21.867705,2018-12-16
53.0138483,-21.86841,2018-12-16
53.013395,-21.8681667,2018-12-16
53.0125783,-21.8688117,2018-12-16
53.0111317,-21.8702767,2018-12-16
52.9823867,-21.8813867,2018-12-16
52.9293383,-21.8678117,2018-12-16
52.9268083,-21.8674217,2018-12-16
52.9246217,-21.8664017,2018-12-16
52.8903833,-21.8482867,2018-12-16
52.8802117,-21.8350267,2018-12-16
52.8924883,-21.8465017,2018-12-16
52.90362,-21.8528483,2018-12-16
52.90882,-21.8622217,2018-12-16
52.9229,-21.8727,2018-12-16
52.9206833,-21.8729467,2018-12-16
52.91906,-21.8722317,2018-12-16
52.9169217,-21.87168,2018-12-16
52.9141617,-21.87214,2018-12-16
52.9123367,-21.8714883,2018-12-16
52.90986,-21.8710433,2018-12-16
52.9075167,-21.8705,2018-12-16
52.9052567,-21.8703417,2018-12-16
52.9029883,-21.869885,2018-12-16
52.9003733,-21.869705,2018-12-16
52.89699,-21.8707,2018-12-16
52.8500833,-21.8982183,2018-12-16
52.803685,-21.8654017,2018-12-16
52.7477933,-21.8675367,2018-12-16
52.69191,-21.8338833,2018-12-16
52.6379267,-21.8052133,2018-12-16
52.58903,-21.7672317,2018-12-16
52.5375117,-21.7796317,2018-12-16
52.4862867,-21.8165683,2018-12-16
52.45006,-21.84766,2018-12-16
52.44784,-21.84923,2018-12-16
